pump_id,manufacturer,model,displacement_cc,rated_rpm,pressure_bar,flow_lpm,displacement_fraction,shaft_power_kw,overall_efficiency
pump_2,Bosch Rexroth,A4VSO 180,180,1500,150.0,51.8,0.2,15.5,0.835
pump_2,Bosch Rexroth,A4VSO 180,180,1500,200.0,51.5,0.2,20.8,0.825
pump_2,Bosch Rexroth,A4VSO 180,180,1500,250.0,51.1,0.2,26.6,0.799
pump_2,Bosch Rexroth,A4VSO 180,180,1500,300.0,50.8,0.2,32.8,0.774
pump_2,Bosch Rexroth,A4VSO 180,180,1500,50.0,105.0,0.4,10.6,0.825
pump_2,Bosch Rexroth,A4VSO 180,180,1500,100.0,104.7,0.4,19.8,0.881
pump_2,Bosch Rexroth,A4VSO 180,180,1500,150.0,104.4,0.4,29.1,0.897
pump_2,Bosch Rexroth,A4VSO 180,180,1500,200.0,104.0,0.4,39.0,0.889
pump_2,Bosch Rexroth,A4VSO 180,180,1500,250.0,103.7,0.4,49.5,0.873
pump_2,Bosch Rexroth,A4VSO 180,180,1500,300.0,103.3,0.4,61.0,0.847
pump_2,Bosch Rexroth,A4VSO 180,180,1500,50.0,157.5,0.6,15.4,0.852
pump_2,Bosch Rexroth,A4VSO 180,180,1500,100.0,157.2,0.6,29.0,0.903
pump_2,Bosch Rexroth,A4VSO 180,180,1500,150.0,156.9,0.6,42.8,0.916
pump_2,Bosch Rexroth,A4VSO 180,180,1500,200.0,156.6,0.6,57.1,0.914
pump_2,Bosch Rexroth,A4VSO 180,180,1500,250.0,156.2,0.6,72.2,0.901
pump_2,Bosch Rexroth,A4VSO 180,180,1500,300.0,155.9,0.6,88.7,0.879
pump_2,Bosch Rexroth,A4VSO 180,180,1500,50.0,210.0,0.8,20.2,0.866
pump_2,Bosch Rexroth,A4VSO 180,180,1500,100.0,209.7,0.8,38.3,0.912
pump_2,Bosch Rexroth,A4VSO 180,180,1500,150.0,209.4,0.8,56.5,0.926
pump_2,Bosch Rexroth,A4VSO 180,180,1500,200.0,209.1,0.8,75.3,0.926
pump_2,Bosch Rexroth,A4VSO 180,180,1500,250.0,208.8,0.8,95.0,0.916
pump_2,Bosch Rexroth,A4VSO 180,180,1500,300.0,208.4,0.8,116.5,0.895
pump_2,Bosch Rexroth,A4VSO 180,180,1500,50.0,262.5,1.0,25.1,0.871
pump_2,Bosch Rexroth,A4VSO 180,180,1500,100.0,262.2,1.0,47.6,0.918
pump_2,Bosch Rexroth,A4VSO 180,180,1500,150.0,261.9,1.0,70.2,0.933
pump_2,Bosch Rexroth,A4VSO 180,180,1500,200.0,261.6,1.0,93.4,0.934
pump_2,Bosch Rexroth,A4VSO 180,180,1500,250.0,261.3,1.0,117.7,0.925
pump_2,Bosch Rexroth,A4VSO 180,180,1500,300.0,260.9,1.0,143.9,0.907
pump_3,Parker,PV092,92,1500,20.0,0.0,0.0,3.2,0.00
pump_3,Parker,PV092,92,1500,50.0,26.8,0.2,3.2,0.698
pump_3,Parker,PV092,92,1500,100.0,26.6,0.2,5.6,0.792
pump_3,Parker,PV092,92,1500,150.0,26.4,0.2,8.1,0.815
pump_3,Parker,PV092,92,1500,200.0,26.2,0.2,10.8,0.809
pump_3,Parker,PV092,92,1500,250.0,26.0,0.2,13.8,0.785
pump_3,Parker,PV092,92,1500,300.0,25.8,0.2,17.2,0.750
pump_3,Parker,PV092,92,1500,50.0,53.6,0.4,5.6,0.798
pump_3,Parker,PV092,92,1500,100.0,53.4,0.4,10.3,0.864
pump_3,Parker,PV092,92,1500,150.0,53.2,0.4,15.1,0.881
pump_3,Parker,PV092,92,1500,200.0,53.0,0.4,20.2,0.875
pump_3,Parker,PV092,92,1500,250.0,52.8,0.4,25.7,0.856
pump_3,Parker,PV092,92,1500,300.0,52.6,0.4,31.7,0.830
pump_3,Parker,PV092,92,1500,50.0,80.4,0.6,8.1,0.827
pump_3,Parker,PV092,92,1500,100.0,80.1,0.6,15.0,0.890
pump_3,Parker,PV092,92,1500,150.0,79.8,0.6,22.0,0.907
pump_3,Parker,PV092,92,1500,200.0,79.5,0.6,29.3,0.904
pump_3,Parker,PV092,92,1500,250.0,79.2,0.6,37.1,0.890
pump_3,Parker,PV092,92,1500,300.0,78.9,0.6,45.6,0.865
pump_3,Parker,PV092,92,1500,50.0,107.2,0.8,10.6,0.843
pump_3,Parker,PV092,92,1500,100.0,106.8,0.8,19.7,0.904
pump_3,Parker,PV092,92,1500,150.0,106.4,0.8,28.9,0.920
pump_3,Parker,PV092,92,1500,200.0,106.0,0.8,38.5,0.918
pump_3,Parker,PV092,92,1500,250.0,105.6,0.8,48.5,0.907
pump_3,Parker,PV092,92,1500,300.0,105.2,0.8,59.3,0.887
pump_3,Parker,PV092,92,1500,50.0,134.0,1.0,13.1,0.853
pump_3,Parker,PV092,92,1500,100.0,133.5,1.0,24.4,0.912
pump_3,Parker,PV092,92,1500,150.0,133.0,1.0,35.9,0.926
pump_3,Parker,PV092,92,1500,200.0,132.5,1.0,47.7,0.925
pump_3,Parker,PV092,92,1500,250.0,132.0,1.0,60.1,0.915
pump_3,Parker,PV092,92,1500,300.0,131.5,1.0,73.4,0.896
